0 : .0.1.3.2.5.6.4 , .0.0.0.0.0.0.0 ; 0,1,1..1,0,1..0,0,0..6,1,0..4,1,1..5,0,1..2,0,0..1,1,0..3,1,1..4,0,1..6,0,0..5,1,0..6,1,1..0,0,1..4,0,0..3,1,0..2,1,1..3,0,1..1,0,0..0,1,0..1,1,1..2,0,1..3,0,0..2,1,0..5,1,1..6,0,1..5,0,0..4,1,0..
1 : .0.1.3.2.6.4.5 , .0.0.0.0.0.0.0 ; 0,1,1..1,0,1..0,0,0..6,1,0..4,1,1..5,0,1..4,0,0..3,1,0..2,1,1..3,0,1..1,0,0..0,1,0..1,1,1..2,0,1..3,0,0..2,1,0..6,1,1..0,0,1..5,0,0..4,1,0..5,1,1..6,0,1..2,0,0..1,1,0..3,1,1..4,0,1..6,0,0..5,1,0..
2 : .0.1.3.4.2.6.5 , .0.0.0.0.0.0.0 ; 0,1,1..1,0,1..0,0,0..6,1,0..5,1,1..6,0,1..2,0,0..1,1,0..3,1,1..4,0,1..3,0,0..2,1,0..6,1,1..0,0,1..5,0,0..4,1,0..2,1,1..3,0,1..1,0,0..0,1,0..1,1,1..2,0,1..4,0,0..3,1,0..4,1,1..5,0,1..6,0,0..5,1,0..
3 : .0.1.3.4.6.5.2 , .0.0.0.0.0.0.0 ; 0,1,1..1,0,1..0,0,0..6,1,0..5,1,1..6,0,1..4,0,0..3,1,0..4,1,1..5,0,1..6,0,0..5,1,0..2,1,1..3,0,1..1,0,0..0,1,0..1,1,1..2,0,1..5,0,0..4,1,0..6,1,1..0,0,1..2,0,0..1,1,0..3,1,1..4,0,1..3,0,0..2,1,0..
4 : .0.1.3.5.2.6.4 , .0.0.0.0.0.0.0 ; 0,1,1..1,0,1..0,0,0..6,1,0..4,1,1..5,0,1..3,0,0..2,1,0..6,1,1..0,0,1..4,0,0..3,1,0..5,1,1..6,0,1..2,0,0..1,1,0..3,1,1..4,0,1..6,0,0..5,1,0..2,1,1..3,0,1..1,0,0..0,1,0..1,1,1..2,0,1..5,0,0..4,1,0..
5 : .0.1.3.6.4.5.2 , .0.0.0.0.0.0.0 ; 0,1,1..1,0,1..0,0,0..6,1,0..4,1,1..5,0,1..4,0,0..3,1,0..6,1,1..0,0,1..2,0,0..1,1,0..3,1,1..4,0,1..6,0,0..5,1,0..2,1,1..3,0,1..1,0,0..0,1,0..1,1,1..2,0,1..5,0,0..4,1,0..5,1,1..6,0,1..3,0,0..2,1,0..
6 : .0.1.4.2.3.6.5 , .0.0.0.0.0.0.0 ; 0,1,1..1,0,1..0,0,0..6,1,0..5,1,1..6,0,1..3,0,0..2,1,0..3,1,1..4,0,1..1,0,0..0,1,0..1,1,1..2,0,1..4,0,0..3,1,0..6,1,1..0,0,1..5,0,0..4,1,0..2,1,1..3,0,1..2,0,0..1,1,0..4,1,1..5,0,1..6,0,0..5,1,0..
7 : .0.1.4.2.6.3.5 , .0.0.0.0.0.0.0 ; 0,1,1..1,0,1..0,0,0..6,1,0..3,1,1..4,0,1..1,0,0..0,1,0..1,1,1..2,0,1..4,0,0..3,1,0..5,1,1..6,0,1..2,0,0..1,1,0..4,1,1..5,0,1..3,0,0..2,1,0..6,1,1..0,0,1..5,0,0..4,1,0..2,1,1..3,0,1..6,0,0..5,1,0..
8 : .0.1.4.3.5.6.2 , .0.0.0.0.0.0.0 ; 0,1,1..1,0,1..0,0,0..6,1,0..2,1,1..3,0,1..4,0,0..3,1,0..5,1,1..6,0,1..5,0,0..4,1,0..3,1,1..4,0,1..1,0,0..0,1,0..1,1,1..2,0,1..6,0,0..5,1,0..6,1,1..0,0,1..2,0,0..1,1,0..4,1,1..5,0,1..3,0,0..2,1,0..
9 : .0.1.4.6.5.3.2 , .0.0.0.0.0.0.0 ; 0,1,1..1,0,1..0,0,0..6,1,0..5,1,1..6,0,1..4,0,0..3,1,0..2,1,1..3,0,1..5,0,0..4,1,0..6,1,1..0,0,1..2,0,0..1,1,0..4,1,1..5,0,1..6,0,0..5,1,0..3,1,1..4,0,1..1,0,0..0,1,0..1,1,1..2,0,1..3,0,0..2,1,0..
10 : .0.1.5.3.4.6.2 , .0.0.0.0.0.0.0 ; 0,1,1..1,0,1..0,0,0..6,1,0..2,1,1..3,0,1..5,0,0..4,1,0..6,1,1..0,0,1..2,0,0..1,1,0..5,1,1..6,0,1..4,0,0..3,1,0..4,1,1..5,0,1..1,0,0..0,1,0..1,1,1..2,0,1..6,0,0..5,1,0..3,1,1..4,0,1..3,0,0..2,1,0..
11 : .0.1.5.4.6.3.2 , .0.0.0.0.0.0.0 ; 0,1,1..1,0,1..0,0,0..6,1,0..3,1,1..4,0,1..5,0,0..4,1,0..6,1,1..0,0,1..2,0,0..1,1,0..5,1,1..6,0,1..4,0,0..3,1,0..2,1,1..3,0,1..6,0,0..5,1,0..4,1,1..5,0,1..1,0,0..0,1,0..1,1,1..2,0,1..3,0,0..2,1,0..
12 : .0.1.6.2.3.5.4 , .0.0.0.0.0.0.0 ; 0,1,1..1,0,1..0,0,0..6,1,0..2,1,1..3,0,1..2,0,0..1,1,0..6,1,1..0,0,1..4,0,0..3,1,0..5,1,1..6,0,1..1,0,0..0,1,0..1,1,1..2,0,1..6,0,0..5,1,0..4,1,1..5,0,1..3,0,0..2,1,0..3,1,1..4,0,1..5,0,0..4,1,0..
13 : .0.1.6.2.4.5.3 , .0.0.0.0.0.0.0 ; 0,1,1..1,0,1..0,0,0..6,1,0..2,1,1..3,0,1..5,0,0..4,1,0..5,1,1..6,0,1..1,0,0..0,1,0..1,1,1..2,0,1..6,0,0..5,1,0..3,1,1..4,0,1..2,0,0..1,1,0..6,1,1..0,0,1..3,0,0..2,1,0..4,1,1..5,0,1..4,0,0..3,1,0..
14 : .0.1.6.3.2.4.5 , .0.0.0.0.0.0.0 ; 0,1,1..1,0,1..0,0,0..6,1,0..3,1,1..4,0,1..2,0,0..1,1,0..6,1,1..0,0,1..5,0,0..4,1,0..5,1,1..6,0,1..1,0,0..0,1,0..1,1,1..2,0,1..3,0,0..2,1,0..4,1,1..5,0,1..4,0,0..3,1,0..2,1,1..3,0,1..6,0,0..5,1,0..
15 : .0.1.6.3.4.2.5 , .0.0.0.0.0.0.0 ; 0,1,1..1,0,1..0,0,0..6,1,0..3,1,1..4,0,1..3,0,0..2,1,0..5,1,1..6,0,1..1,0,0..0,1,0..1,1,1..2,0,1..4,0,0..3,1,0..4,1,1..5,0,1..2,0,0..1,1,0..6,1,1..0,0,1..5,0,0..4,1,0..2,1,1..3,0,1..6,0,0..5,1,0..
16 : .0.1.6.5.2.4.3 , .0.0.0.0.0.0.0 ; 0,1,1..1,0,1..0,0,0..6,1,0..5,1,1..6,0,1..1,0,0..0,1,0..1,1,1..2,0,1..5,0,0..4,1,0..3,1,1..4,0,1..2,0,0..1,1,0..6,1,1..0,0,1..3,0,0..2,1,0..4,1,1..5,0,1..6,0,0..5,1,0..2,1,1..3,0,1..4,0,0..3,1,0..
17 : .0.1.6.5.3.2.4 , .0.0.0.0.0.0.0 ; 0,1,1..1,0,1..0,0,0..6,1,0..5,1,1..6,0,1..1,0,0..0,1,0..1,1,1..2,0,1..3,0,0..2,1,0..4,1,1..5,0,1..6,0,0..5,1,0..3,1,1..4,0,1..2,0,0..1,1,0..6,1,1..0,0,1..4,0,0..3,1,0..2,1,1..3,0,1..5,0,0..4,1,0..
18 : .0.2.1.4.5.3.6 , .0.0.0.0.0.0.0 ; 0,1,1..1,0,1..2,0,0..1,1,0..4,1,1..5,0,1..4,0,0..3,1,0..6,1,1..0,0,1..6,0,0..5,1,0..3,1,1..4,0,1..1,0,0..0,1,0..2,1,1..3,0,1..5,0,0..4,1,0..5,1,1..6,0,1..3,0,0..2,1,0..1,1,1..2,0,1..0,0,0..6,1,0..
19 : .0.2.1.4.6.5.3 , .0.0.0.0.0.0.0 ; 0,1,1..1,0,1..2,0,0..1,1,0..4,1,1..5,0,1..6,0,0..5,1,0..3,1,1..4,0,1..1,0,0..0,1,0..2,1,1..3,0,1..5,0,0..4,1,0..6,1,1..0,0,1..3,0,0..2,1,0..1,1,1..2,0,1..0,0,0..6,1,0..5,1,1..6,0,1..4,0,0..3,1,0..
20 : .0.2.1.5.3.4.6 , .0.0.0.0.0.0.0 ; 0,1,1..1,0,1..2,0,0..1,1,0..5,1,1..6,0,1..4,0,0..3,1,0..4,1,1..5,0,1..1,0,0..0,1,0..2,1,1..3,0,1..5,0,0..4,1,0..6,1,1..0,0,1..6,0,0..5,1,0..3,1,1..4,0,1..3,0,0..2,1,0..1,1,1..2,0,1..0,0,0..6,1,0..
21 : .0.2.1.5.6.4.3 , .0.0.0.0.0.0.0 ; 0,1,1..1,0,1..2,0,0..1,1,0..5,1,1..6,0,1..5,0,0..4,1,0..3,1,1..4,0,1..6,0,0..5,1,0..6,1,1..0,0,1..3,0,0..2,1,0..1,1,1..2,0,1..0,0,0..6,1,0..4,1,1..5,0,1..1,0,0..0,1,0..2,1,1..3,0,1..4,0,0..3,1,0..
22 : .0.2.1.6.3.5.4 , .0.0.0.0.0.0.0 ; 0,1,1..1,0,1..2,0,0..1,1,0..6,1,1..0,0,1..4,0,0..3,1,0..5,1,1..6,0,1..1,0,0..0,1,0..2,1,1..3,0,1..6,0,0..5,1,0..4,1,1..5,0,1..3,0,0..2,1,0..1,1,1..2,0,1..0,0,0..6,1,0..3,1,1..4,0,1..5,0,0..4,1,0..
23 : .0.2.1.6.5.3.4 , .0.0.0.0.0.0.0 ; 0,1,1..1,0,1..2,0,0..1,1,0..6,1,1..0,0,1..4,0,0..3,1,0..4,1,1..5,0,1..6,0,0..5,1,0..3,1,1..4,0,1..3,0,0..2,1,0..1,1,1..2,0,1..0,0,0..6,1,0..5,1,1..6,0,1..1,0,0..0,1,0..2,1,1..3,0,1..5,0,0..4,1,0..
